http://app:9011/book/db?id=2,1000,16.41466ms,100,1.890177ms,27.336288ms,0.00,17.745872ms,23.668596ms,24.350697ms,25.498984ms,200,1000,1.890177ms,27.336288ms,16.41466ms
http://app:9011/book/db?id=2,5000,111.804843ms,500,8.71943ms,491.673979ms,0.00,84.949778ms,286.170688ms,381.076173ms,482.143047ms,200,5000,8.71943ms,491.673979ms,111.804843ms
http://app:9011/book/db?id=2,10000,1.473036453s,1000,35.205461ms,9.681227475s,0.00,1.090195588s,2.976533381s,3.963787941s,5.880303336s,200,10000,35.205461ms,9.681227475s,1.473036453s
http://app:9011/book/db?id=2,15000,5.099874775s,1500,410.434708ms,23.381774163s,38.96,7.250684828s,18.061093202s,18.584865759s,21.551718009s,200,9156,410.434708ms,23.381774163s,8.354971781s
http://app:9011/book/db?id=2,20000,3.629561419s,2000,5.069357ms,13.597902707s,0.69,3.5687799s,7.13483395s,8.176767138s,9.716229142s,200,19861,5.069357ms,13.597902707s,3.654963414s
http://app:9011/book/db?id=2,25000,4.667868862s,2500,79.923355ms,31.712092615s,50.90,8.622279342s,14.326236015s,20.596707575s,26.74154898s,200,12275,79.923355ms,31.712092615s,9.506861227s
http://app:9011/book/redis?id=2,500,18.807994ms,100,6.455534ms,43.307226ms,0.00,14.884996ms,42.240649ms,42.406533ms,42.968596ms,200,500,6.455534ms,43.307226ms,18.807994ms
http://app:9011/book/redis?id=2,2500,27.520714ms,500,10.737454ms,48.869823ms,0.00,26.636628ms,41.524709ms,45.433214ms,47.483569ms,200,2500,10.737454ms,48.869823ms,27.520714ms
http://app:9011/book/redis?id=2,5000,53.75229ms,1000,17.887542ms,143.352478ms,0.00,50.656195ms,67.742336ms,124.914201ms,138.608681ms,200,5000,17.887542ms,143.352478ms,53.75229ms
http://app:9011/book/redis?id=2,7500,749.508692ms,1500,14.027852ms,3.121179115s,0.00,140.863631ms,3.016809218s,3.030284273s,3.060420249s,200,7500,14.027852ms,3.121179115s,749.508692ms
http://app:9011/book/redis?id=2,10000,3.453465798s,2000,395.487611ms,12.272440201s,31.33,4.393699137s,7.629286437s,8.308679811s,8.528443365s,200,6867,395.487611ms,12.272440201s,5.029074994s
http://app:9011/book/redis?id=2,12500,3.115137905s,2500,1.222177904s,16.966656011s,59.29,5.330149602s,13.497689945s,13.547678853s,13.635033976s,200,5089,1.222177904s,16.966656011s,7.651645474s
http://app:9011/book/redis?id=2,5000,36.551502ms,500,7.69567ms,109.487275ms,0.00,35.146659ms,45.057138ms,49.204917ms,104.016696ms,200,5000,7.69567ms,109.487275ms,36.551502ms
http://app:9011/book/redis?id=2,10000,2.457623382s,1000,26.787107ms,10.488339477s,0.06,1.949014248s,5.491069039s,5.99181201s,7.529367353s,200,9994,26.787107ms,10.488339477s,2.459098842s
http://app:9011/book/redis?id=2,15000,2.364135886s,1500,169.297822ms,16.461573783s,14.51,2.248370714s,4.346602431s,8.499661661s,16.077285304s,200,12824,169.297822ms,16.461573783s,2.765286829s
http://app:9011/book/redis?id=2,20000,3.071109409s,2000,51.433366ms,11.134053888s,0.01,2.562571894s,7.494137851s,8.968648027s,10.438986899s,200,19999,51.433366ms,11.134053888s,3.071262972s
http://app:9011/book/redis?id=2,25000,3.09510493s,2500,114.483656ms,32.75393397s,51.86,6.220389291s,9.677453374s,11.002088911s,22.950558598s,200,12036,114.483656ms,32.75393397s,6.428848725s
http://app:9011/book/service?id=2,500,10.361921ms,100,2.091155ms,21.837394ms,0.00,7.588778ms,19.506078ms,20.355635ms,20.839299ms,200,500,2.091155ms,21.837394ms,10.361921ms
http://app:9011/book/service?id=2,2500,26.851244ms,500,3.125264ms,46.444897ms,0.00,26.465752ms,37.697331ms,39.691835ms,42.458915ms,200,2500,3.125264ms,46.444897ms,26.851244ms
http://app:9011/book/service?id=2,5000,52.793356ms,1000,4.673461ms,141.76929ms,0.00,52.882018ms,67.629217ms,73.033776ms,109.457752ms,200,5000,4.673461ms,141.76929ms,52.793356ms
http://app:9011/book/service?id=2,7500,583.504103ms,1500,20.051012ms,2.856996801s,0.00,79.245532ms,2.64559869s,2.676610057s,2.825193489s,200,7500,20.051012ms,2.856996801s,583.504103ms
http://app:9011/book/service?id=2,10000,1.359117228s,2000,189.036715ms,11.794030918s,57.84,3.291894834s,5.075164837s,6.297800095s,9.611206838s,200,4216,189.036715ms,11.794030918s,3.223712592s
http://app:9011/book/service?id=2,9000,2.726236383s,1800,91.758748ms,12.692390282s,41.34,3.784927358s,9.232009555s,10.533510672s,10.843243794s,200,5279,91.758748ms,12.692390282s,4.647874114s
http://app:9011/book/service?id=2,8000,950.871075ms,1600,236.996µs,4.257992791s,1.05,95.997999ms,3.411103363s,3.69096679s,4.06965621s,200,7916,236.996µs,4.257992791s,960.961168ms
http://app:9011/book/service?id=2,7900,2.322898857s,1580,35.730363ms,10.365850501s,17.06,3.110368077s,6.429808714s,6.929022737s,7.806523719s,200,6552,35.730363ms,10.365850501s,2.800809061s
http://app:9011/book/service?id=2,5000,547.958886ms,500,2.1593ms,2.023016857s,0.00,523.935306ms,906.494485ms,1.02012041s,1.68502493s,200,5000,2.1593ms,2.023016857s,547.958886ms
http://app:9011/book/service?id=2,10000,910.68728ms,1000,27.242752ms,4.961073714s,0.00,542.438321ms,2.98667939s,3.673327582s,4.142946654s,200,10000,27.242752ms,4.961073714s,910.68728ms
http://app:9011/book/service?id=2,15000,2.947470831s,1500,23.280551ms,25.37264876s,25.11,2.555893503s,11.601806919s,14.099754705s,22.812192406s,200,11233,23.280551ms,25.37264876s,3.935908704s
http://app:9011/book/service?id=2,20000,2.952003592s,2000,6.915406ms,11.791991884s,0.21,2.739073608s,5.55457611s,7.836643405s,9.488930968s,200,19959,6.915406ms,11.791991884s,2.958067631s
